name,position,pro_team,PTS,BLK,STL,AST,OREB,DREB,REB,PF,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN,GP
Ivica Zubac,C,LAC,8.047619047619047,0.9365079365079365,0.20634920634920634,1.0952380952380953,2.5555555555555554,4.571428571428571,7.126984126984127,2.3174603174603177,0.8095238095238095,3.1904761904761907,5.301587301587301,1.6666666666666667,2.2063492063492065,0.0,0.031746031746031744,0.60179641,0.75539568,0.0,18.04761905,18.047619047619047,0.9682539682539683
Thomas Bryant,C,WAS,12.027027027027026,0.8918918918918919,0.35135135135135137,1.864864864864865,1.9189189189189189,4.837837837837838,6.756756756756757,2.2432432432432434,1.2972972972972974,4.837837837837838,8.054054054054054,1.7837837837837838,2.4324324324324325,0.5675675675675675,1.4054054054054055,0.60067114,0.73333333,0.40384615,23.62162162,23.62162162162162,0.7297297297297297
Mikal Bridges,SF,PHO,8.703125,0.59375,1.4375,1.75,0.890625,3.078125,3.96875,2.203125,0.984375,3.21875,6.265625,1.390625,1.640625,0.875,2.46875,0.51371571,0.84761905,0.35443038,27.015625,27.015625,0.359375
Delon Wright,SG,DET,7.253968253968254,0.31746031746031744,1.126984126984127,3.365079365079365,1.0,2.9047619047619047,3.9047619047619047,1.2857142857142858,1.0,2.746031746031746,5.841269841269841,1.0952380952380953,1.3968253968253967,0.6666666666666666,1.7777777777777777,0.4701087,0.78409091,0.375,21.6984127,21.6984126984127,0.07936507936507936
Derrick Favors,C,UTA,9.222222222222221,0.9777777777777777,0.5555555555555556,1.6666666666666667,3.2666666666666666,6.622222222222222,9.88888888888889,2.2,1.1333333333333333,4.2,6.777777777777778,0.8,1.3777777777777778,0.022222222222222223,0.15555555555555556,0.61967213,0.58064516,0.14285714,24.17777778,24.177777777777777,0.9555555555555556
PJ Washington,PF,CHA,12.339285714285714,0.75,0.8928571428571429,2.1607142857142856,0.9642857142857143,4.517857142857143,5.482142857142857,2.7142857142857144,1.625,4.642857142857143,10.107142857142858,1.5714285714285714,2.392857142857143,1.4821428571428572,3.892857142857143,0.45936396,0.65671642,0.38073394,30.5,30.5,0.9821428571428571
Jerami Grant,SF,DET,11.516129032258064,0.8225806451612904,0.6935483870967742,1.2258064516129032,0.8225806451612904,2.7096774193548385,3.532258064516129,2.193548387096774,0.8870967741935484,4.096774193548387,8.725806451612904,1.9838709677419355,2.693548387096774,1.3387096774193548,3.3870967741935485,0.46950092,0.73652695,0.3952381,26.25806452,26.258064516129032,0.3548387096774194
Tyrese Haliburton,PG,SAC,,,,,,,,,,,,,,,,,,,,,
Duncan Robinson,SG,MIA,13.296875,0.234375,0.515625,1.390625,0.140625,3.109375,3.25,2.765625,0.921875,4.421875,9.375,0.703125,0.78125,3.75,8.28125,0.47166667,0.9,0.45283019,29.890625,29.890625,0.921875
Goran Dragic,PG,MIA,16.32075471698113,0.1509433962264151,0.5660377358490566,5.056603773584905,0.4716981132075472,2.5660377358490565,3.0377358490566038,1.9433962264150944,2.4150943396226414,5.452830188679245,12.339622641509434,3.188679245283019,4.150943396226415,2.2264150943396226,5.830188679245283,0.44189602,0.76818182,0.38187702,28.39622642,28.39622641509434,0.018867924528301886
