name,position,pro_team,PTS,BLK,STL,AST,REB,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN
Derrick Rose,PG,DET,17.912280701754387,0.2982456140350877,0.7017543859649122,5.0,2.508771929824561,2.192982456140351,7.228070175438597,14.899999999999999,2.508771929824561,2.9000000000000004,0.9473684210526315,2.9000000000000004,0.485,0.865,0.325,26.6,26.6
Jarrett Allen,C,BKN,10.921875,1.40625,0.5,1.296875,8.90625,1.203125,4.265625,6.9,2.34375,3.5,0.046875,0.3,0.618,0.67,0.138,26.2,26.2
Coby White,PG,CHI,16.582089552238806,0.1044776119402985,0.8955223880597015,3.298507462686567,4.298507462686567,1.8955223880597014,6.029850746268656,14.899999999999999,1.9402985074626866,2.4000000000000004,2.582089552238806,7.1,0.405,0.808,0.364,31.5,31.5
Obi Toppin,PF,NYK,14.940298507462687,1.1044776119402986,0.8059701492537313,1.7014925373134329,6.104477611940299,2.1044776119402986,5.044776119402985,10.100000000000001,3.4776119402985075,4.9,1.373134328358209,1.373134328358209,0.499,0.711,0.351,30.8,30.799999999999997
Rui Hachimura,PF,WAS,15.292307692307693,0.1076923076923077,1.0,1.9076923076923078,6.707692307692308,1.1076923076923078,6.076923076923077,12.6,2.4923076923076923,3.0,0.6461538461538462,2.0,0.482,0.831,0.321,33.3,33.3
Otto Porter Jr.,SF,CHI,15.309090909090909,0.6,1.509090909090909,2.309090909090909,6.0,1.1090909090909091,5.8545454545454545,12.4,1.5818181818181818,2.0,2.018181818181818,4.9,0.472,0.79,0.413,32.5,32.5
Miles Bridges,SF,CHA,12.814285714285715,0.8,0.8,1.8,5.8,1.3,4.914285714285715,11.2,1.5142857142857142,1.9,1.4714285714285715,4.4,0.439,0.794,0.334,31.7,31.7
DeMarcus Cousins,C,HOU,15.8,1.3,1.3,3.7,8.8,3.0,5.6,11.8,3.56,4.8,1.04,3.3,0.475,0.741,0.314,26.1,26.1
Bojan Bogdanovic,SF,UTA,18.71875,0.09375,0.703125,2.0,4.09375,2.0,6.40625,13.7,3.375,3.9,2.53125,6.1,0.468,0.867,0.416,32.7,32.7
RJ Barrett,SG,NYK,16.184615384615384,0.3076923076923077,1.0,2.707692307692308,5.3076923076923075,2.3076923076923075,5.815384615384615,13.8,3.3230769230769233,4.8,1.2307692307692308,3.7,0.421,0.691,0.332,32.4,32.4
Marvin Bagley III,PF,SAC,16.736842105263158,1.0,0.5964912280701754,1.0,8.403508771929825,1.7017543859649122,6.543859649122807,13.100000000000001,3.087719298245614,4.1,0.5614035087719298,1.7999999999999998,0.499,0.751,0.314,28.1,28.1
Kendrick Nunn,SG,MIA,16.03076923076923,0.2,0.9076923076923077,3.5076923076923077,2.8,1.7076923076923076,6.3076923076923075,14.0,1.2615384615384615,1.5,2.1538461538461537,5.9,0.451,0.844,0.364,30.4,30.4
Ivica Zubac,C,LAC,10.735294117647058,1.2058823529411764,0.29411764705882354,1.3970588235294117,9.205882352941176,1.1029411764705883,4.264705882352941,7.2,2.2058823529411766,2.9,,,0.593,0.762,,23.8,23.8
Thomas Bryant,C,WAS,13.728813559322035,1.1016949152542372,0.4067796610169492,2.2033898305084745,8.203389830508474,1.5084745762711864,5.440677966101695,9.7,2.2033898305084745,2.9,0.6440677966101694,1.7,0.561,0.759,0.383,28.5,28.5
Mikal Bridges,SF,PHO,9.81159420289855,0.5942028985507246,1.6956521739130435,2.101449275362319,4.101449275362318,1.0,3.550724637681159,7.3,1.5072463768115942,1.8,1.2028985507246377,3.4,0.487,0.841,0.352,31.6,31.6
Delon Wright,SG,DET,13.907692307692308,0.5076923076923077,1.6,4.707692307692308,5.2,1.5076923076923077,5.046153846153846,11.1,2.5384615384615383,3.2,1.2769230769230768,3.7,0.455,0.795,0.345,31.2,31.2
Derrick Favors,C,UTA,9.88888888888889,1.0952380952380953,0.6031746031746031,1.3015873015873016,7.698412698412699,1.0,4.2063492063492065,7.1000000000000005,1.3492063492063493,2.1,0.12698412698412698,0.6,0.593,0.646,0.211,22.5,22.5
PJ Washington,PF,CHA,13.23076923076923,0.8,0.9076923076923077,2.3076923076923075,5.8,1.7076923076923076,4.984615384615385,10.7,1.676923076923077,2.5,1.5846153846153845,4.1,0.466,0.668,0.385,32.4,32.4
Jerami Grant,SF,DET,15.686567164179104,1.1940298507462686,0.8059701492537313,1.2985074626865671,7.0,1.0,5.656716417910448,11.600000000000001,2.716417910447761,3.8,1.6567164179104477,4.300000000000001,0.488,0.716,0.386,33.7,33.7
Tyrese Haliburton,PG,SAC,12.257575757575758,0.3939393939393939,1.393939393939394,5.393939393939394,4.893939393939394,2.5,4.2727272727272725,9.700000000000001,1.9090909090909092,2.3000000000000003,1.803030303030303,1.803030303030303,0.441,0.827,0.347,28.7,28.7
Duncan Robinson,SG,MIA,12.938461538461539,0.2,0.5076923076923077,1.4,3.2,0.9076923076923077,4.3076923076923075,9.2,0.7076923076923077,0.8,3.6153846153846154,8.1,0.468,0.886,0.447,29.5,29.5
Goran Dragic,PG,MIA,16.98181818181818,0.2,0.7090909090909091,5.3090909090909095,3.5090909090909093,2.4,5.909090909090909,13.5,3.109090909090909,4.0,2.0545454545454547,5.5,0.438,0.777,0.373,30.8,30.8
Carmelo Anthony,PF,POR,13.412698412698413,0.3968253968253968,0.6031746031746031,1.2063492063492063,5.396825396825397,1.3968253968253967,5.031746031746032,12.1,1.873015873015873,2.3000000000000003,1.4761904761904763,4.1000000000000005,0.416,0.816,0.359,28.2,28.2
DeAndre Jordan,C,BKN,9.524590163934427,0.9016393442622951,0.39344262295081966,1.901639344262295,11.508196721311476,1.6065573770491803,3.7868852459016393,5.8,1.9508196721311475,2.9,,,0.653,0.67,,25.2,25.2
Donte DiVincenzo,SG,MIL,12.2,0.4,1.7076923076923076,2.9076923076923076,6.107692307692307,1.5076923076923077,4.415384615384616,9.6,1.2307692307692308,1.6,2.1384615384615384,5.9,0.46,0.769,0.362,29.2,29.2
Davis Bertans,PF,WAS,13.861538461538462,0.6,0.6,1.6,4.3076923076923075,1.0,4.461538461538462,10.2,1.6307692307692307,1.9,3.3076923076923075,7.8,0.437,0.858,0.424,27.2,27.2
Willie Cauley-Stein,C,DAL,9.412698412698413,0.9047619047619048,1.0,1.7936507936507937,6.603174603174603,0.9047619047619048,4.063492063492063,7.3999999999999995,1.2857142857142858,2.1999999999999997,,,0.55,0.581,0.254,23.2,23.2
Tim Hardaway Jr.,SG,DAL,16.734375,0.09375,0.703125,2.203125,3.296875,1.296875,5.75,13.7,2.546875,3.1,2.6875,7.2,0.42,0.824,0.373,30.1,30.1
Dillon Brooks,SG,MEM,16.611940298507463,0.40298507462686567,1.0,2.1044776119402986,3.5970149253731343,1.8059701492537314,6.08955223880597,15.100000000000001,2.328358208955224,2.9000000000000004,2.1044776119402986,5.800000000000001,0.403,0.801,0.364,31.0,31.0
Klay Thompson,SG,GSW,,,,,,,,,,,,,,,,,
Seth Curry,SG,PHL,13.292307692307693,0.2,0.7076923076923077,1.9076923076923078,2.6,1.2,4.769230769230769,9.8,1.2615384615384615,1.5,2.4923076923076923,5.5,0.486,0.842,0.452,27.7,27.7
Deni Avdija,SF,WAS,11.676923076923076,0.7076923076923077,0.8,2.3076923076923075,4.507692307692308,1.7076923076923076,3.9846153846153847,8.9,2.6307692307692307,3.4,1.0769230769230769,1.0769230769230769,0.447,0.773,0.349,27.1,27.1
Darius Garland,PG,CLE,16.092307692307692,0.1076923076923077,0.8,4.2,2.0,2.8,5.938461538461539,14.3,1.9538461538461538,2.2,2.2615384615384615,6.2,0.415,0.891,0.366,33.3,33.3
Wendell Carter Jr.,C,CHI,12.086206896551724,1.103448275862069,0.7931034482758621,1.5,9.5,1.793103448275862,4.603448275862069,9.0,2.6379310344827585,3.5,0.2413793103448276,0.7999999999999999,0.511,0.753,0.292,30.7,30.7
Daniel Theis,C,BOS,9.080645161290322,1.3064516129032258,0.5967741935483871,1.596774193548387,6.5,0.9032258064516129,3.6451612903225805,6.5,1.3548387096774193,1.7999999999999998,0.43548387096774194,1.4,0.56,0.757,0.315,23.6,23.6
Elfrid Payton,PG,NYK,10.785714285714286,0.39285714285714285,1.3035714285714286,7.107142857142857,4.803571428571429,2.392857142857143,4.517857142857143,10.0,1.2678571428571428,2.0,0.48214285714285715,1.8,0.451,0.638,0.265,28.5,28.5
Kevin Huerter,SG,ATL,12.901639344262295,0.5081967213114754,1.0,3.80327868852459,4.295081967213115,1.7049180327868851,4.80327868852459,11.4,0.8852459016393442,1.0999999999999999,2.4098360655737703,6.2,0.422,0.805,0.39,33.7,33.699999999999996
Larry Nance Jr.,PF,CLE,9.507936507936508,0.5079365079365079,1.2063492063492063,2.3015873015873014,7.603174603174603,1.0952380952380953,3.873015873015873,7.3,1.1111111111111112,1.5999999999999999,0.6507936507936508,1.9000000000000001,0.531,0.694,0.339,25.6,25.599999999999998
Harrison Barnes,SF,SAC,14.735294117647058,0.20588235294117646,0.6029411764705882,1.8970588235294117,4.602941176470588,1.2058823529411764,5.132352941176471,11.6,2.8529411764705883,3.5,1.6176470588235294,4.2,0.442,0.814,0.384,31.4,31.4
Jae Crowder,PF,PHO,11.388059701492537,0.40298507462686567,1.0,2.1044776119402986,5.402985074626866,1.1044776119402986,3.8059701492537314,9.7,1.7611940298507462,2.3,2.014925373134328,6.199999999999999,0.393,0.764,0.324,29.4,29.4
Kyle Kuzma,PF,LAL,13.65079365079365,0.3968253968253968,0.3968253968253968,1.6031746031746033,4.603174603174603,1.507936507936508,5.142857142857143,11.6,1.9206349206349207,2.6,1.4444444444444444,4.6000000000000005,0.444,0.737,0.314,25.6,25.599999999999998
OG Anunoby,SF,TOR,10.075757575757576,0.5,1.196969696969697,1.303030303030303,4.803030303030303,1.106060606060606,3.9545454545454546,8.1,0.8484848484848485,1.3,1.3181818181818181,3.6,0.489,0.653,0.366,29.0,29.0
Marc Gasol,C,LAL,10.421052631578947,0.8947368421052632,0.8070175438596491,3.508771929824561,6.4035087719298245,1.5964912280701755,3.719298245614035,8.6,1.7894736842105263,2.3,1.1929824561403508,3.2,0.433,0.78,0.371,25.9,25.9
